pH,Temperature,Conductivity @25°C,Dissolved Oxygen,BOD - 5 days (Total),Ammonia-Total (as N),ortho-Phosphate (as P) - unspecified,Total Hardness (as CaCO3),True Colour,Is_Potable_By_Normes
6.993,23.756,33.594,9.991,2.231,0.046,0.11,109.584,14.299,1
6.995,18.118,47.631,9.514,0.923,0.389,0.048,22.322,2.616,1
10.076,-1.511,-3.757,18.352,-4.649,5.467,0.982,-0.818,-4.132,0
6.669,27.171,337.522,6.452,0.521,0.149,0.164,116.619,4.667,1
7.726,8.365,172.812,9.249,3.651,0.445,0.1,135.681,7.702,1
6.514,28.854,13.22,10.629,3.858,0.414,0.097,136.511,11.432,1
7.006,10.819,191.843,7.782,3.434,0.304,0.095,91.016,2.751,1
8.296,11.781,267.687,8.356,2.847,0.161,0.017,142.801,11.533,1
13.163,-3.248,501.449,17.282,8.805,-4.645,-4.268,-0.938,-4.041,0
7.188,6.244,296.414,12.325,0.016,0.391,0.08,270.408,14.734,1
8.164,10.885,107.231,13.432,3.729,0.423,0.042,257.655,2.105,1
7.459,7.932,215.903,9.953,0.811,0.086,0.097,223.743,9.088,1
5.028,32.861,-1.428,4.584,7.038,-2.287,-4.343,-2.333,15.967,0
8.179,12.555,243.48,5.497,3.301,0.38,0.031,125.174,14.843,1
7.178,22.094,362.934,12.822,4.285,0.214,0.198,195.133,3.951,1
8.203,26.062,299.52,7.408,2.129,0.1,0.063,121.129,13.334,1
7.04,12.709,467.149,8.551,4.279,0.286,0.127,27.411,2.867,1
9.06,31.686,500.659,14.581,-3.332,-3.282,3.351,-2.701,-3.145,0
8.435,17.11,391.272,5.574,1.212,0.356,0.039,209.223,5.749,1
7.894,16.308,273.608,7.82,1.125,0.398,0.195,257.005,3.7,1
7.789,27.435,474.408,9.931,2.823,0.134,0.173,211.809,0.186,1
6.306,31.716,502.197,0.73,8.539,-3.65,3.057,300.992,-4.584,0
8.364,18.027,45.548,6.085,3.042,0.274,0.167,125.003,14.686,1
8.135,3.326,287.726,11.914,4.345,0.101,0.066,95.138,1.349,1
3.4,31.312,500.154,0.36,6.252,-0.809,-1.236,301.108,-1.703,0
6.768,7.51,295.371,6.678,4.607,0.316,0.021,179.178,7.967,1
5.204,-4.238,503.926,3.84,8.795,-4.743,2.527,303.811,16.267,0
7.877,26.053,156.041,12.979,3.41,0.006,0.159,275.249,12.285,1
5.322,30.832,503.879,4.399,7.81,4.126,2.702,304.83,19.202,0
8.055,0.28,251.561,6.742,3.399,0.282,0.165,123.137,11.906,1
6.756,28.721,217.394,9.347,2.182,0.134,0.058,160.883,9.195,1
7.995,4.349,157.381,6.928,1.832,0.029,0.065,96.35,8.95,1
2.84,32.31,-2.269,4.598,7.13,1.841,3.043,302.022,-3.241,0
8.607,-4.971,500.25,0.477,-2.77,-4.184,4.301,300.461,17.556,0
13.3,-3.701,502.782,4.004,9.18,-0.26,-2.3,-2.161,-3.811,0
9.109,32.02,504.475,4.191,9.505,-2.578,-0.588,-4.598,15.455,0
6.303,34.165,500.221,15.077,9.32,1.988,-0.561,304.524,-0.404,0
2.691,-4.789,503.82,18.659,-3.532,-0.16,-1.792,302.203,-5.0,0
7.268,15.719,431.596,5.946,4.63,0.091,0.09,246.397,12.031,1
6.798,27.852,144.356,12.06,0.402,0.091,0.134,56.298,4.905,1
8.284,4.247,28.682,9.383,3.515,0.151,0.182,63.024,14.86,1
12.437,-2.098,503.744,2.67,-2.447,-1.317,4.398,-3.84,-3.003,0
10.249,-4.219,503.263,4.239,-3.831,3.49,2.207,304.018,16.321,0
7.037,21.237,106.093,10.466,2.235,0.434,0.035,36.011,13.243,1
10.705,31.93,-0.177,4.415,-2.458,4.982,2.851,303.961,-2.51,0
10.732,-1.487,-4.004,16.303,-2.029,-1.939,2.564,303.648,19.608,0
7.051,4.638,110.202,13.035,3.302,0.273,0.184,238.369,12.583,1
12.851,31.723,504.848,0.841,9.085,-4.109,1.727,-4.552,-2.763,0
8.343,16.107,91.908,7.876,1.373,0.12,0.011,239.382,8.931,1
3.598,-3.866,501.139,15.584,9.043,4.289,-2.709,300.151,16.263,0
7.574,27.542,149.631,8.704,1.432,0.26,0.194,71.184,7.813,1
6.587,22.829,370.055,11.125,0.736,0.369,0.098,228.543,9.428,1
7.63,24.655,146.806,11.12,3.988,0.479,0.045,182.648,2.269,1
7.384,26.029,497.732,12.926,3.367,0.069,0.195,222.116,2.858,1
3.397,32.002,-0.138,15.247,9.533,-1.752,-4.744,303.309,18.94,0
12.267,30.758,-2.951,16.166,9.322,1.133,1.476,303.141,-0.301,0
12.179,-2.282,-2.134,3.319,7.626,-4.017,-1.634,303.724,16.547,0
6.704,2.429,258.217,8.082,1.992,0.207,0.137,29.384,5.989,1
7.572,19.986,49.835,6.626,3.187,0.029,0.122,83.444,0.651,1
7.689,16.512,371.779,13.782,3.383,0.399,0.191,23.072,11.093,1
8.147,5.276,10.009,8.088,2.701,0.051,0.172,9.404,3.265,1
5.426,30.366,-0.263,1.005,9.152,5.116,-0.763,-2.613,16.509,0
8.47,11.641,475.497,12.816,0.608,0.027,0.001,244.784,2.248,1
7.174,20.68,29.687,9.342,3.994,0.013,0.047,181.185,5.412,1
6.867,17.439,346.151,10.818,2.014,0.144,0.088,157.584,1.947,1
7.576,23.907,261.499,6.546,4.37,0.1,0.2,119.033,9.255,1
8.373,11.002,268.399,11.401,1.47,0.079,0.08,155.744,10.012,1
3.301,-3.991,500.728,14.334,-1.861,-1.551,1.084,302.485,18.257,0
12.543,30.173,-2.684,17.539,-2.984,-2.203,-4.53,300.969,-1.343,0
7.165,22.008,218.441,6.425,1.399,0.406,0.046,173.782,6.974,1
11.622,32.336,-3.4,2.838,8.303,-2.834,-0.922,300.678,-2.797,0
8.262,3.728,446.722,6.333,4.618,0.079,0.014,177.025,1.634,1
2.087,-2.885,501.577,14.392,5.345,-2.951,-2.76,300.709,-4.257,0
6.627,22.699,440.338,8.562,3.423,0.143,0.109,292.454,11.129,1
11.116,-3.628,-1.01,3.618,-4.082,2.105,-0.163,301.157,-3.5,0
3.598,32.476,-2.779,15.713,-0.91,1.144,2.597,-3.527,15.748,0
12.214,34.052,-3.702,1.094,-4.487,2.745,0.775,-2.543,17.737,0
8.663,32.713,-4.032,3.495,-2.137,3.256,1.462,301.428,-0.314,0
8.298,8.209,468.71,6.453,3.045,0.435,0.177,205.059,12.691,1
3.61,32.165,501.417,18.879,9.651,3.873,-4.477,301.001,-0.25,0
8.183,6.033,340.966,13.814,4.471,0.031,0.168,53.821,12.102,1
2.748,33.062,502.432,17.235,6.156,1.197,-0.497,302.206,-1.123,0
11.346,33.306,-2.91,4.531,-4.692,-3.261,0.606,-3.78,-2.271,0
8.614,-3.153,503.561,3.253,-0.793,-4.009,4.649,301.302,17.196,0
7.456,12.731,282.644,12.338,1.841,0.44,0.18,168.697,0.847,1
1.793,-4.032,501.514,4.361,-2.254,4.182,-1.138,-1.915,-3.281,0
6.098,34.1,503.275,3.647,-3.331,-0.318,3.814,301.397,-4.581,0
4.405,34.735,-1.365,18.437,-2.016,-1.036,-2.082,-0.615,-0.558,0
10.892,34.142,-4.411,0.619,-4.726,1.623,4.612,300.322,-2.022,0
9.137,-1.213,-4.238,14.522,-4.466,-3.541,3.537,-2.052,17.202,0
7.576,14.984,220.767,5.961,0.281,0.376,0.117,139.623,8.923,1
5.69,-4.966,-3.667,14.462,-0.723,2.418,0.353,300.23,16.771,0
6.727,21.214,410.606,6.167,4.547,0.446,0.069,195.745,1.057,1
5.853,-0.148,-4.454,16.508,9.403,-3.975,-2.089,302.232,-1.649,0
8.449,3.06,267.506,13.477,3.168,0.352,0.125,12.343,1.408,1
8.122,17.78,340.75,6.941,2.991,0.447,0.065,26.559,5.63,1
7.76,13.019,156.231,11.045,2.809,0.013,0.019,126.641,5.867,1
11.624,31.653,-0.262,1.04,9.928,2.48,4.009,-0.51,16.643,0
6.885,12.278,303.421,11.715,0.634,0.149,0.072,255.556,0.529,1
7.0,12.292,393.425,13.155,0.883,0.424,0.009,241.125,10.069,1
1.732,30.7,500.158,17.601,5.936,1.489,2.532,300.948,17.815,0
4.28,-1.711,-2.018,15.504,6.206,-2.5,-4.057,-2.871,15.967,0
4.777,34.743,-4.555,4.21,7.142,3.193,-1.438,302.249,19.458,0
12.356,32.72,-2.663,1.064,-2.951,-1.389,3.074,-1.571,15.877,0
10.981,34.882,-2.763,14.267,5.722,4.632,3.638,-2.27,-3.158,0
7.391,9.966,279.942,13.385,3.812,0.165,0.198,274.15,1.678,1
10.554,-2.104,503.425,0.959,-3.675,4.841,-0.565,-3.293,-2.669,0
8.22,8.492,38.822,13.698,0.488,0.302,0.177,288.886,14.135,1
10.879,-0.136,502.732,14.349,-2.472,3.231,-2.367,-0.592,18.428,0
7.859,26.346,144.374,12.237,0.923,0.2,0.066,54.39,2.885,1
6.872,26.043,402.183,9.832,1.527,0.289,0.139,133.902,4.535,1
8.242,7.362,449.787,8.619,2.196,0.209,0.031,211.284,6.627,1
4.97,-2.444,-1.811,14.689,6.753,4.396,1.295,-3.279,-1.028,0
6.519,17.754,431.338,9.013,0.999,0.255,0.128,251.7,9.004,1
2.154,32.453,504.373,16.751,-1.343,-1.115,-3.726,300.267,-0.826,0
3.18,34.227,-4.942,1.273,9.381,-4.924,-3.783,304.338,-0.876,0
6.761,4.098,383.29,8.968,3.105,0.055,0.013,57.801,3.428,1
9.097,34.727,503.2,18.205,7.516,-1.265,-0.197,302.186,17.033,0
7.339,20.166,266.843,6.715,4.323,0.4,0.086,65.015,11.064,1
9.48,-3.69,-3.587,2.965,-2.381,-2.038,5.05,301.393,19.954,0
7.843,3.459,107.492,6.355,4.766,0.107,0.001,118.817,9.019,1
6.907,8.53,402.012,11.726,3.358,0.131,0.159,274.398,12.09,1
7.419,0.684,445.568,9.13,3.93,0.31,0.03,232.203,13.08,1
2.579,-3.031,-0.612,14.887,7.446,5.395,3.403,-3.998,-2.062,0
8.243,15.421,282.459,13.108,3.432,0.059,0.134,218.983,3.388,1
8.05,17.853,330.788,10.327,1.745,0.453,0.029,18.055,1.814,1
8.115,11.817,172.625,7.874,2.227,0.411,0.086,211.382,4.504,1
4.059,-1.238,-4.719,15.885,-3.92,-3.458,1.986,301.839,19.102,0
7.178,12.199,116.296,8.791,3.212,0.407,0.062,66.783,9.937,1
6.689,27.138,399.197,11.116,0.401,0.041,0.181,266.263,5.63,1
7.099,18.972,127.785,12.846,3.084,0.424,0.043,141.13,2.086,1
13.234,32.076,-1.621,1.522,9.168,4.526,2.655,300.805,-2.102,0
11.58,-4.848,501.202,0.157,-1.892,4.684,-3.927,-1.875,-0.363,0
3.476,33.698,503.11,2.745,6.966,4.964,0.92,-3.027,19.412,0
7.672,5.426,183.164,13.954,2.829,0.049,0.161,294.765,9.685,1
13.244,32.934,-4.769,2.646,-4.789,-3.819,-1.889,301.694,-4.613,0
8.3,25.085,78.784,6.043,0.943,0.391,0.005,5.296,11.13,1
6.708,28.346,445.779,6.456,2.006,0.474,0.067,263.001,3.693,1
7.949,17.305,360.46,12.143,1.429,0.096,0.036,116.083,6.877,1
12.295,-3.601,502.73,4.54,-4.615,5.203,3.989,302.972,-4.208,0
12.209,31.693,503.998,4.632,-0.417,-4.081,-1.502,-0.303,15.899,0
6.313,-3.298,-3.852,2.73,-1.745,-4.061,-1.925,304.895,-1.827,0
8.386,3.874,326.781,7.34,3.988,0.229,0.181,230.62,9.33,1
7.006,23.122,225.721,11.822,2.084,0.285,0.021,188.952,2.781,1
8.37,2.41,330.083,8.12,3.823,0.188,0.161,193.265,4.366,1
1.747,-0.364,504.279,0.131,-2.809,-3.914,-1.14,304.138,-0.911,0
6.73,27.978,23.938,7.635,1.083,0.389,0.045,190.378,9.859,1
2.071,34.714,503.261,4.879,6.203,4.0,-4.168,-1.205,17.528,0
13.276,33.506,502.232,1.234,6.592,3.946,-0.868,304.499,15.482,0
8.266,9.484,467.764,9.95,0.534,0.289,0.116,40.622,11.851,1
2.865,-1.187,-2.193,3.845,9.024,-3.477,-4.99,-2.798,-2.062,0
2.922,34.327,-4.015,16.487,6.008,-4.74,-2.319,303.196,-3.444,0
7.54,20.298,415.365,11.698,3.865,0.413,0.14,191.443,14.118,1
6.85,26.612,189.321,7.833,2.998,0.322,0.128,136.627,2.335,1
7.232,13.581,22.981,11.319,2.228,0.405,0.026,199.152,5.421,1
4.157,-3.14,-4.307,0.373,-3.506,3.765,4.876,-0.342,15.602,0
10.395,30.819,-2.748,4.228,8.621,-1.388,-0.312,304.736,16.618,0
8.402,18.115,343.737,6.385,3.246,0.38,0.004,43.745,9.833,1
7.607,21.605,368.505,12.295,4.295,0.056,0.012,176.874,5.286,1
6.837,14.008,480.25,6.046,1.857,0.1,0.1,229.998,9.743,1
8.155,26.611,188.483,6.078,3.112,0.351,0.172,223.737,4.233,1
2.463,-2.984,-2.808,0.66,7.096,-1.937,-1.705,-4.811,-2.516,0
1.577,-1.711,-3.771,2.22,8.554,-0.981,1.103,300.672,19.749,0
7.12,22.714,152.94,8.137,4.425,0.316,0.155,241.516,13.718,1
5.988,32.36,-3.993,16.853,7.01,2.74,-4.218,-1.927,18.684,0
6.944,24.749,274.685,10.086,3.354,0.078,0.064,204.701,4.885,1
6.869,29.655,422.334,13.122,4.884,0.378,0.049,280.919,8.625,1
7.642,20.311,485.051,9.264,2.973,0.054,0.156,95.16,12.669,1
6.959,9.605,376.282,13.769,4.096,0.192,0.057,67.73,12.501,1
3.43,-1.7,-3.001,1.543,8.277,1.747,3.156,303.706,16.933,0
6.779,20.998,2.011,7.522,4.331,0.486,0.138,7.572,12.813,1
8.009,9.933,289.304,8.138,0.079,0.092,0.07,237.345,3.201,1
7.482,9.857,29.171,12.198,0.637,0.171,0.083,52.775,0.197,1
11.461,34.814,500.118,16.71,8.534,-0.438,5.03,-3.86,-3.767,0
4.122,-3.208,501.079,0.865,6.161,1.723,-3.29,-4.588,15.777,0
6.928,14.049,318.699,8.769,2.102,0.081,0.148,207.38,8.36,1
7.051,4.8,413.67,5.478,0.984,0.333,0.065,2.212,4.008,1
9.493,31.324,504.071,17.982,-2.371,-1.211,2.039,-0.238,19.158,0
3.146,-2.741,501.824,0.743,5.918,-3.906,-3.995,-1.846,18.714,0
13.383,-3.913,-3.166,18.233,5.194,2.096,-0.437,303.781,-2.538,0
5.777,-1.747,501.432,17.223,-2.354,4.198,1.778,-4.477,19.563,0
12.098,-0.604,-4.851,15.674,-1.971,2.788,1.541,302.944,-0.838,0
6.846,3.233,359.781,6.531,4.804,0.339,0.056,13.069,9.484,1
8.33,15.393,352.939,7.12,4.422,0.333,0.065,133.918,11.825,1
12.162,33.204,-0.559,14.226,-2.994,2.957,2.661,-0.939,16.347,0
8.462,23.322,23.442,10.353,1.479,0.309,0.134,82.994,1.223,1
7.039,21.701,487.724,5.867,4.74,0.384,0.151,143.851,0.132,1
2.83,32.081,-3.076,2.729,5.185,4.101,-1.079,303.214,-3.828,0
5.084,30.106,-3.001,2.78,-0.95,2.831,3.837,302.873,-0.298,0
8.433,8.338,168.146,8.226,3.276,0.494,0.15,279.305,9.41,1
8.126,4.319,70.059,9.595,0.307,0.337,0.125,114.513,6.333,1
11.905,-0.462,-1.281,18.429,9.629,-0.852,-3.505,303.3,-1.452,0
4.214,-4.636,503.049,16.469,-1.184,0.821,4.232,301.156,-0.768,0
4.094,30.858,503.337,16.787,8.544,0.797,4.693,-4.902,-3.46,0
7.435,13.329,214.504,13.296,1.937,0.151,0.052,88.969,8.048,1
7.572,18.086,490.241,13.885,2.83,0.155,0.039,292.885,3.776,1
7.211,2.294,329.951,10.807,3.672,0.431,0.184,97.1,1.77,1
7.449,7.803,4.452,9.155,1.207,0.189,0.136,201.412,2.299,1
2.803,31.797,-2.911,1.97,-3.98,-4.382,4.892,303.558,19.138,0
7.798,28.354,365.682,8.956,3.002,0.381,0.001,263.809,13.599,1
6.377,-1.65,504.612,15.064,-0.895,2.404,3.814,303.819,-2.945,0
10.113,30.401,-0.8,3.701,8.358,-4.519,-3.724,302.043,16.425,0
6.048,-3.145,502.981,18.157,9.227,3.613,4.974,300.69,-1.939,0
12.461,31.464,-2.615,14.145,-1.673,3.877,-1.468,-4.883,-1.537,0
3.193,33.959,504.009,4.778,8.247,-1.75,-3.199,-3.264,19.934,0
13.077,-0.673,500.125,17.469,-4.181,0.671,4.547,303.484,-0.103,0
9.685,30.589,500.731,18.88,-2.491,-3.94,-1.463,-0.325,-3.334,0
10.112,-2.757,504.704,2.09,-4.202,-2.218,3.026,-4.898,16.482,0
12.746,34.477,504.382,14.63,5.776,2.329,-4.651,-3.024,-3.187,0
10.641,30.646,503.464,15.649,-4.844,1.433,-0.123,-4.249,16.573,0
3.72,-0.137,500.3,17.414,8.63,-0.968,2.683,302.113,15.751,0
7.923,25.154,2.767,9.6,1.123,0.476,0.17,257.22,3.029,1
6.676,13.587,394.99,13.12,1.503,0.326,0.091,163.317,2.675,1
6.72,11.559,55.31,10.135,2.119,0.427,0.095,224.685,3.354,1
5.648,-0.576,504.859,0.809,7.6,0.97,3.245,302.322,-0.352,0
8.197,24.394,80.425,8.759,1.886,0.34,0.092,124.617,0.938,1
7.105,18.293,22.41,12.777,4.985,0.288,0.065,220.602,9.532,1
12.313,30.628,-2.443,1.286,9.237,3.575,-3.993,-1.319,-4.584,0
2.183,34.676,500.109,2.801,-4.259,2.876,3.715,303.857,-3.804,0
7.794,13.94,492.973,7.458,1.708,0.086,0.04,0.356,11.967,1
2.45,-2.244,-3.905,18.173,-1.855,4.669,-0.646,304.374,15.529,0
7.783,14.711,353.275,8.864,1.765,0.265,0.198,111.035,2.511,1
13.456,33.375,-2.774,4.729,7.143,-1.048,2.457,304.424,-1.39,0
11.017,-3.792,-0.283,17.922,-4.389,-0.478,2.137,-3.233,-3.824,0
2.757,33.103,501.699,18.64,8.28,-3.765,2.349,-2.584,-3.592,0
6.944,7.328,376.767,12.035,1.976,0.478,0.063,24.947,2.884,1
7.574,21.788,356.333,12.771,3.071,0.477,0.111,108.444,0.818,1
7.942,28.657,109.589,6.831,1.649,0.418,0.096,107.867,7.231,1
2.829,31.3,502.162,0.605,-1.295,3.971,1.655,301.257,15.512,0
8.28,28.53,356.063,7.242,0.291,0.303,0.174,269.031,12.334,1
7.833,23.308,238.416,10.573,1.991,0.003,0.088,138.267,2.368,1
13.198,-3.963,-4.994,18.582,-4.19,-4.942,-3.793,-4.673,15.585,0
13.026,34.237,-4.069,0.926,-3.303,2.39,0.77,-1.007,-3.43,0
1.548,-4.4,-3.589,14.308,-3.352,4.631,3.281,-1.004,-4.651,0
10.564,30.125,-3.338,14.197,-2.043,2.384,4.98,-1.015,17.472,0
7.703,9.407,54.71,8.066,2.429,0.227,0.115,54.644,11.613,1
1.533,-1.844,503.198,3.38,8.409,-4.268,0.523,-0.758,17.323,0
7.873,8.61,246.888,8.204,1.34,0.425,0.068,295.512,6.195,1
7.69,19.334,120.88,10.018,2.975,0.241,0.044,196.656,4.626,1
2.792,34.295,501.704,2.14,-1.502,5.001,-4.651,304.268,-2.983,0
7.72,21.826,167.796,6.29,3.104,0.274,0.116,166.502,10.273,1
1.86,-2.269,-2.6,3.871,-0.368,2.781,4.286,304.346,-2.263,0
4.614,32.019,-0.304,3.917,7.792,-2.04,-2.444,304.439,18.239,0
6.619,17.866,233.321,11.559,4.577,0.098,0.125,89.032,0.661,1
7.852,29.692,309.362,5.306,2.831,0.267,0.091,60.844,2.006,1
7.831,5.247,481.168,9.755,2.806,0.486,0.004,24.074,3.511,1
6.778,24.422,143.199,7.846,2.29,0.067,0.057,219.46,0.009,1
6.537,0.25,72.419,13.406,4.9,0.001,0.013,155.39,6.564,1
3.756,33.567,-3.27,2.905,5.349,4.12,4.517,-4.423,18.48,0
7.285,3.92,302.087,10.494,3.794,0.223,0.065,260.943,5.32,1
13.334,34.714,-0.711,17.566,-4.764,2.515,0.41,-1.8,-0.579,0
4.995,30.289,-3.463,18.953,-3.933,5.041,3.244,-0.247,-1.17,0
8.178,23.847,449.156,13.814,2.766,0.458,0.195,90.099,4.587,1
5.986,33.731,-1.425,0.336,7.629,-3.485,2.031,301.287,-3.102,0
12.139,34.682,500.317,0.917,8.375,-1.695,-4.276,303.123,18.776,0
5.329,-3.349,-1.417,2.315,-4.13,-3.053,-0.372,302.51,-0.311,0
4.94,33.61,500.578,0.925,7.608,-4.912,0.441,303.174,-2.777,0
7.265,24.042,203.893,11.197,2.35,0.416,0.032,121.477,7.612,1
5.145,34.46,-3.511,15.374,6.301,-3.992,-3.99,-0.373,-3.127,0
2.234,32.57,501.57,3.237,6.05,1.533,-1.302,304.483,-1.317,0
12.065,-3.331,502.435,1.83,8.127,4.737,-1.688,303.778,16.864,0
11.62,-4.69,-2.68,15.492,9.133,3.281,-3.034,-1.339,-2.248,0
3.627,34.679,-4.553,16.563,9.631,-1.38,-4.221,-2.182,-0.172,0
7.84,20.672,328.567,8.503,2.23,0.23,0.03,143.97,6.994,1
7.643,21.317,427.484,5.357,2.591,0.359,0.027,96.205,7.182,1
7.891,21.906,230.286,12.534,4.192,0.389,0.066,269.222,11.526,1
13.476,33.742,501.488,17.945,-2.175,1.235,4.394,302.204,-0.546,0
8.114,1.819,418.861,5.17,2.276,0.26,0.123,270.171,8.874,1
5.993,-0.358,503.915,2.479,8.906,4.712,0.686,-4.621,-3.778,0
7.657,21.34,157.754,10.758,2.66,0.319,0.112,77.123,13.65,1
11.028,34.116,503.867,3.278,7.494,5.155,-4.332,302.641,19.485,0
6.948,12.258,308.047,5.406,4.628,0.015,0.19,204.672,6.391,1
8.069,27.451,65.426,9.653,2.218,0.312,0.042,29.187,2.58,1
5.133,-2.439,-1.468,1.806,5.22,1.014,-4.049,303.963,-3.63,0
7.944,10.16,180.903,5.5,1.4,0.171,0.123,291.002,4.885,1
7.064,21.418,178.298,5.584,4.484,0.019,0.2,1.797,8.645,1
7.587,16.496,450.427,12.749,0.199,0.434,0.065,161.88,2.903,1
7.984,25.401,4.545,5.067,1.697,0.305,0.018,108.184,12.437,1
6.694,10.914,73.761,6.141,1.437,0.03,0.171,160.812,7.985,1
7.823,6.875,412.334,11.064,0.553,0.335,0.049,182.39,12.624,1
10.18,-1.152,502.75,17.472,-3.019,-2.183,-3.955,301.723,15.826,0
10.235,-1.323,-1.919,2.57,-0.242,0.739,2.901,304.566,-4.289,0
9.532,-0.227,501.837,3.674,9.958,3.974,4.993,304.366,19.882,0
8.016,3.745,405.696,10.782,1.006,0.487,0.173,43.336,7.689,1
6.764,3.138,203.665,7.835,1.384,0.205,0.135,193.948,8.004,1
8.448,11.666,49.703,6.875,4.329,0.258,0.025,98.96,12.805,1
7.333,22.109,356.062,10.561,1.816,0.384,0.103,34.457,2.492,1
9.989,-3.151,-1.396,16.514,-3.716,4.012,4.845,-2.92,-3.316,0
4.32,31.946,-0.78,3.992,8.466,3.73,0.682,303.585,-0.432,0
4.563,-4.773,-3.77,3.402,-0.57,-0.44,2.77,301.447,18.261,0
7.051,21.532,7.048,9.627,2.205,0.12,0.008,2.84,4.542,1
5.848,-2.621,-2.913,3.55,6.602,-0.601,-0.156,304.868,16.242,0
7.45,20.156,144.099,13.101,3.754,0.097,0.188,72.924,6.675,1
7.45,10.694,168.312,5.511,1.637,0.191,0.195,181.125,5.405,1
4.774,-2.512,-3.499,3.577,5.729,3.51,0.418,303.729,-3.118,0
1.531,34.752,-3.823,16.615,-1.218,-4.635,-4.165,303.713,17.935,0
2.663,31.183,501.715,17.952,-2.985,-4.13,4.93,-2.413,-0.852,0
7.513,19.754,410.747,11.511,3.011,0.386,0.006,54.552,14.397,1
8.171,24.756,43.517,9.944,0.321,0.045,0.164,137.132,2.886,1
7.789,21.48,414.442,8.833,0.663,0.241,0.034,174.305,12.248,1
13.464,-1.185,503.538,16.028,7.031,0.997,-2.179,-2.604,19.708,0
5.516,-1.265,-4.5,1.686,-3.832,2.92,1.074,-3.549,16.837,0
1.722,-2.423,-1.208,18.477,5.219,3.358,4.277,300.199,15.839,0
6.661,17.664,335.054,10.23,2.26,0.229,0.06,139.065,8.398,1
2.973,-3.417,500.688,1.02,-1.745,1.147,4.867,-1.844,-1.498,0
7.906,0.416,183.798,13.449,2.745,0.012,0.032,184.284,13.153,1
7.784,24.625,468.596,13.553,2.195,0.146,0.07,135.589,10.279,1
7.896,26.803,29.617,9.073,4.147,0.248,0.012,271.937,7.836,1
2.541,-4.596,500.31,16.891,-2.787,-1.269,3.869,303.317,-4.058,0
8.294,5.36,166.955,5.451,2.979,0.343,0.174,290.306,4.527,1
7.193,1.16,292.441,5.107,4.464,0.153,0.006,67.63,3.511,1
2.928,31.321,-3.748,0.941,9.325,-4.253,4.164,301.954,17.551,0
7.614,13.959,285.422,13.997,3.259,0.133,0.127,254.744,6.109,1
8.988,32.063,-2.617,17.699,-0.409,1.212,1.189,-3.816,-1.662,0
6.893,0.984,17.534,12.452,3.299,0.492,0.157,251.916,5.346,1
2.501,32.196,500.429,17.399,-3.797,-1.651,-0.366,301.501,15.375,0
8.875,33.797,504.09,0.478,-4.734,-4.784,0.889,-3.655,-1.47,0
6.755,0.665,433.179,6.949,3.628,0.45,0.099,209.074,0.418,1
2.403,32.317,-1.542,16.647,-1.48,-0.66,-2.113,-3.792,18.048,0
7.954,29.166,75.724,8.945,3.145,0.01,0.065,6.169,3.582,1
6.617,8.387,433.89,10.953,1.17,0.425,0.146,100.296,14.997,1
9.486,-1.75,504.659,2.586,-1.502,4.661,-1.696,-1.263,17.177,0
8.127,27.73,176.769,10.778,2.192,0.495,0.074,32.371,7.619,1
8.443,27.695,394.801,11.002,2.997,0.108,0.08,125.421,13.035,1
12.663,-3.443,-2.367,17.285,6.819,-4.364,3.924,-4.53,-3.655,0
5.653,31.419,-3.033,3.662,8.607,-4.726,0.765,-1.533,-0.402,0
2.763,33.256,500.842,14.884,8.492,4.707,3.457,301.448,16.937,0
4.883,-3.756,-1.785,18.338,-1.435,1.069,5.039,303.139,-3.972,0
10.81,33.553,-3.157,1.55,6.109,2.786,-1.056,301.463,15.167,0
12.986,30.4,-4.531,14.707,-1.708,-4.814,-0.864,300.546,17.682,0
6.387,-2.062,503.551,17.035,-2.035,-2.497,0.417,-2.649,19.71,0
10.283,30.504,-0.601,16.453,-0.546,-1.93,-4.606,-1.272,19.652,0
8.405,17.764,295.571,13.012,4.528,0.164,0.101,244.318,10.612,1
1.97,-2.572,-3.36,1.544,9.294,2.471,-1.288,-1.678,-4.803,0
8.466,20.21,323.148,13.107,3.637,0.095,0.068,228.909,13.257,1
8.723,32.247,-2.904,0.579,-2.946,-3.705,-4.907,304.498,-2.284,0
8.31,25.706,27.017,7.165,0.792,0.322,0.152,218.995,7.71,1
8.389,10.445,23.129,12.56,4.88,0.154,0.129,100.134,2.512,1
7.721,5.696,156.382,5.971,2.045,0.097,0.195,218.455,1.331,1
7.323,17.085,273.184,10.654,0.775,0.025,0.032,275.565,9.45,1
7.691,26.467,103.013,8.406,0.194,0.428,0.162,23.431,5.932,1
7.381,28.741,220.0,10.068,4.323,0.052,0.056,60.104,8.624,1
8.02,27.051,88.547,13.431,2.718,0.14,0.035,250.651,2.13,1
8.355,25.819,281.159,13.03,1.563,0.225,0.051,228.375,0.244,1
12.942,-1.232,504.703,15.551,-1.717,3.69,4.616,300.532,-3.122,0
5.325,-4.791,503.421,0.792,-1.838,-3.782,-0.889,300.903,17.936,0
10.629,-2.442,500.658,17.03,-4.16,-0.854,-0.334,-3.905,-2.577,0
5.864,34.86,502.599,0.555,7.602,-4.647,1.369,-2.607,19.413,0
7.563,16.665,156.486,12.872,2.493,0.339,0.15,87.914,4.619,1
8.359,23.582,361.961,9.09,4.24,0.317,0.127,66.822,6.727,1
